time,non-key,key
0,0,28322
0.184,7071,0
0.284,10011,0
0.384,8137,0
0.484,7465,0
0.582,7629,0
0.682,9325,0
0.783,8589,0
0.883,5426,0
0.983,6635,0
1.083,8330,0
1.183,8072,0
1.283,6109,0
1.285,5758,0
1.385,5680,0
1.485,5849,0
1.669,5323,0
1.769,5075,0
1.873,5151,0
1.973,5085,0
2.082,5171,0
2.182,4967,0
2.284,5811,0
2.384,5729,0
2.39,5220,0
2.49,5762,0
2.573,5873,0
2.673,5534,0
2.773,5912,0
2.951,5578,0
3.051,5345,0
3.172,5776,0
3.272,5550,0
3.379,6771,0
3.479,6624,0
3.582,6621,0
3.682,7178,0
3.706,6846,0
3.806,6609,0
3.88,5834,0
3.98,5255,0
4.08,5218,0
4.238,5747,0
4.338,5843,0
4.462,5530,0
4.562,5354,0
4.667,4982,0
4.767,5021,0
4.875,5383,0
4.975,5837,0
5.075,5846,0
5.179,6191,0
5.279,6043,0
5.381,5845,0
5.481,5425,0
5.578,5322,0
5.678,5081,0
5.78,5106,0
5.88,6064,0
5.981,8823,0
6.081,10253,0
6.14,9973,0
6.24,8049,0
6.34,6873,0
6.453,7023,0
6.553,7173,0
6.662,7353,0
6.762,8173,0
6.867,7630,0
6.967,7641,0
7.071,8004,0
7.171,7908,0
7.245,7499,0
7.345,6956,0
7.428,6695,0
7.528,6679,0
7.628,6246,0
7.737,6577,0
7.837,6366,0
7.942,6487,0
8.042,6602,0
8.147,6676,0
8.247,6843,0
8.349,6076,0
8.449,6267,0
8.543,6435,0
8.643,6804,0
8.741,7394,0
8.841,6163,0
8.941,5769,0
9.042,6417,0
9.142,6159,0
9.243,6079,0
9.343,6367,0
9.444,6903,0
9.544,6753,0
9.645,6778,0
9.745,6670,0
9.845,6540,0
9.946,6671,0
10.046,6383,0
10.147,5306,0
10.247,5326,0
10.347,5799,0
10.447,5522,0
10.548,6510,0
10.648,6859,0
10.745,6928,0
10.845,6794,0
10.943,5734,0
11.042,5160,0
11.142,5593,0
11.243,5261,0
11.343,5307,0
11.444,5479,0
11.544,5482,0
11.645,5282,0
11.745,5275,0
11.846,4953,0
11.946,5375,0
12.043,0,29510
12.143,8724,0
12.24,7191,0
12.34,6826,0
12.44,6364,0
12.541,6548,0
12.641,6919,0
12.742,7391,0
12.842,7598,0
12.944,8247,0
13.044,8405,0
13.144,7765,0
13.244,6543,0
13.342,7302,0
13.442,6763,0
13.542,6626,0
13.643,6830,0
13.743,6605,0
13.844,6916,0
13.944,6869,0
14.044,6778,0
14.144,6682,0
14.245,6232,0
14.345,6529,0
14.442,6395,0
14.542,6305,0
14.64,6702,0
14.74,6155,0
14.84,5675,0
14.941,5532,0
15.041,5654,0
15.142,4991,0
15.242,5621,0
15.343,7211,0
15.443,7743,0
15.544,7078,0
15.644,6479,0
15.741,6114,0
15.841,6583,0
15.938,5753,0
16.038,5532,0
16.138,5801,0
16.239,5129,0
16.339,5279,0
16.44,5512,0
16.54,5886,0
16.641,6190,0
16.741,6174,0
16.842,5700,0
16.942,6512,0
17.042,5110,0
17.143,5048,0
17.243,4733,0
17.344,4789,0
17.444,5188,0
17.545,6098,0
17.645,6594,0
17.746,7123,0
17.846,6810,0
17.947,6108,0
18.047,5393,0
18.144,5432,0
18.244,5629,0
18.344,6021,0
18.445,5705,0
18.545,5635,0
18.646,5859,0
18.746,6269,0
18.847,5477,0
18.947,5121,0
19.047,5344,0
19.147,5332,0
19.244,4985,0
19.344,5615,0
19.441,5536,0
19.541,5789,0
19.641,6139,0
19.742,6472,0
19.842,6836,0
19.943,6983,0
20.043,6760,0
20.144,6294,0
20.244,5878,0
20.345,5798,0
20.445,6317,0
20.545,6604,0
20.646,6351,0
20.746,6327,0
20.847,5866,0
20.947,5544,0
21.047,5191,0
21.147,5213,0
21.248,5088,0
21.348,5562,0
21.449,5644,0
21.549,5818,0
21.646,5516,0
21.746,5670,0
21.846,5316,0
21.947,5245,0
22.047,5205,0
22.147,5518,0
22.247,5560,0
22.348,5115,0
22.448,4828,0
22.549,4978,0
22.649,4953,0
22.745,5391,0
22.845,5100,0
22.942,5297,0
23.042,4642,0
23.142,4752,0
23.243,4567,0
23.343,4600,0
23.444,4860,0
23.544,5922,0
23.645,6435,0
23.745,6385,0
23.846,5898,0
23.946,5377,0
24.042,0,29534
24.142,7632,0
24.238,6472,0
24.338,6144,0
24.438,5905,0
24.539,5857,0
24.639,5841,0
24.74,5705,0
24.84,5771,0
24.941,5377,0
25.041,5174,0
25.138,5646,0
25.238,6029,0
25.338,6762,0
25.439,6427,0
25.539,5724,0
25.64,6910,0
25.74,6451,0
25.841,6230,0
25.941,5660,0
26.042,5321,0
26.142,5647,0
26.238,5744,0
26.338,5670,0
26.434,5505,0
26.534,5570,0
26.634,5795,0
26.736,6320,0
26.836,7294,0
26.937,6767,0
27.037,6321,0
27.138,6190,0
27.238,6129,0
27.339,6612,0
27.439,7192,0
27.535,6548,0
27.635,6268,0
27.731,5626,0
27.831,5822,0
27.931,6185,0
28.033,6237,0
28.133,5476,0
28.234,5939,0
28.334,5760,0
28.435,5455,0
28.535,5472,0
